Tahun-Bulan,Jumlah Ton
2006-01,12011
2006-02,14252
2006-03,17008
2006-04,15256
2006-05,14593
2006-06,13620
2006-07,10178
2006-08,9677
2006-09,8132
2006-10,7791
2006-11,10102
2006-12,20170
2007-01,11990
2007-02,9749
2007-03,14198
2007-04,14384
2007-05,15236
2007-06,14220
2007-07,12374
2007-08,11899
2007-09,12265
2007-10,11900
2007-11,13052
2007-12,14172
2008-01,12953
2008-02,11665
2008-03,11211
2008-04,13106
2008-05,15109
2008-06,11215
2008-07,11379
2008-08,11467
2008-09,12361
2008-10,15508
2008-11,13564
2008-12,13744
2009-01,12509
2009-02,11483
2009-03,12057
2009-04,13168
2009-05,14736
2009-06,12017
2009-07,11929
2009-08,11388
2009-09,11139
2009-10,14284
2009-11,13816
2009-12,14064
2010-01,12451
2010-02,11358
2010-03,14673
2010-04,13815
2010-05,14963
2010-06,13200
2010-07,11605
2010-08,11374
2010-09,11424
2010-10,12491
2010-11,11719
2010-12,11940
2011-01,11984
2011-02,10790
2011-03,13682
2011-04,13033
2011-05,13435
2011-06,13109
2011-07,11409
2011-08,10703
2011-09,11626
2011-10,12007
2011-11,11929
2011-12,12896
2012-01,12350
2012-02,11672
2012-03,13788
2012-04,13079
2012-05,13545
2012-06,12833
2012-07,11251
2012-08,10577
2012-09,10906
2012-10,11855
2012-11,12823
2012-12,12536
2013-01,13057
2013-02,10683
2013-03,13279
2013-04,13420
2013-05,13361
2013-06,12984
2013-07,10872
2013-08,10536
2013-09,11773
2013-10,11447
2013-11,12101
2013-12,12345
2014-01,13003
2014-02,11807
2014-03,13981
2014-04,13887
2014-05,14411
2014-06,12896
2014-07,12144
2014-08,11969
2014-09,11787
2014-10,12688
2014-11,12785
2014-12,13011
2015-01,13024
2015-02,11822
2015-03,14000
2015-04,13905
2015-05,14430
2015-06,12916
2015-07,12164
2015-08,11988
2015-09,11810
2015-10,12704
2015-11,12805
2015-12,13030
2016-01,13175
2016-02,11606
2016-03,11621
2016-04,12804
2016-05,11706
2016-06,11374
2016-07,10929
2016-08,11391
2016-09,10699
2016-10,10984
2016-11,10974
2016-12,11508
